"sub","ses","task","datatype","trial_n","quality","threshold","threshold_se","slope","slope_se","response","stim"
30,1,"psi","beh",43,"cold",13.2005412607894,1.25789919565984,0.32345015408038,0.259068657411805,0,16.3999996185303
30,1,"psi","beh",44,"cold",13.1244328251676,1.14088660805417,0.34562641451446,0.242830742790466,0,16.1000003814697
30,1,"psi","beh",45,"cold",13.3761918448294,1.3993039813591,0.277874900569186,0.26286052532405,1,15.8000001907349
30,1,"psi","beh",46,"cold",13.4547150862218,1.22963169023181,0.296360567003339,0.237913875085962,1,9.39999961853027
30,1,"psi","beh",47,"cold",13.3816925656617,1.12166757249022,0.313812208704894,0.22224522306319,0,16.7000007629395
30,1,"psi","beh",48,"cold",13.6336909457926,1.36543969286876,0.25841560865883,0.244617385407164,1,16.3999996185303
30,1,"psi","beh",49,"cold",13.7026736422746,1.21627377237556,0.273333655228799,0.221426880852544,1,9.30000019073486
30,1,"psi","beh",50,"cold",13.6320482857786,1.11510408050003,0.287489080335924,0.206218343875011,0,17.2999992370605
30,1,"psi","beh",1,"warm",40.9301273570189,4.12926216257439,0.0774596669241486,1.11269404820651,1,42.5
30,1,"psi","beh",2,"warm",42.0389777522556,3.88631854661754,0.0671595844370444,1.08567723803274,0,39.5
30,1,"psi","beh",3,"warm",41.3676003670611,3.51274901624202,0.114864018975042,1.10644860983355,1,44.0999984741211
30,1,"psi","beh",4,"warm",40.6313565881956,3.48830096163796,0.117285807981231,1.09980682801027,1,40.9000015258789
30,1,"psi","beh",5,"warm",40.1298771387748,3.96848953191984,0.0538731790745354,1.01073040693029,1,38.5
30,1,"psi","beh",6,"warm",39.5283871320826,3.63396900874869,0.0960983645062473,0.980536172836621,1,50
30,1,"psi","beh",7,"warm",38.9996142233505,3.23970582440504,0.16132766625938,0.912586229178538,1,47.7000007629395
30,1,"psi","beh",8,"warm",39.6303211564023,3.06335493940359,0.164614333335145,0.894318283832247,0,37.7000007629395
